item_key,description,n_patients,coverage_pct,val_min,val_max,coverage_tier
px011002_metadata,PhenX Education Attainment Met,2063,90.5,,,full-cohort
px11502_metadata,PhenX Health Insurance MetaData,2063,90.5,,,full-cohort
px270101_metadata,PhenX Health Care Access MetaD,2063,90.5,,,full-cohort
px270201_metadata,PhenX English Proficiency Meta,2063,90.5,,,full-cohort
px270301_metadata,PhenX MetaData,2280,100.0,,,full-cohort
px280301_metadata,PhenX Job Security MetaData,2063,90.5,,,full-cohort
px280801_metadata,PhenX Prescriptions Affordabil,2063,90.5,,,full-cohort
px280901_metadata,PhenX Healthcare Discriminatio,2063,90.5,,,full-cohort
px281401_metadata,PhenX Housing Insecurity MetaD,2063,90.5,,,full-cohort
px281501_metadata,PhenX Racial/Ethnic MetaData,2280,100.0,,,full-cohort
pxahc1,About how long has it been since you last,2061,90.4,0.0,4.0,full-cohort
pxahc10,"During the past 12 months, was there any",2046,89.7,0.0,1.0,full-cohort
pxahc2,"Was this a wellness visit, physical, or g",2039,89.4,0.0,1.0,full-cohort
pxahc3,About how long has it been since you last,256,11.2,0.0,6.0,skip-gated
pxahc4,Is there a place that you USUALLY go to i,1788,78.4,0.0,2.0,skip-gated
pxahc5,What kind of place is it/do you go to mos,2026,88.9,1.0,6.0,full-cohort
pxahc6,"During the past 12 months, how many times",30,1.3,0.0,1.0,skip-gated
pxahc7,"During the past 12 months, how many times",2055,90.1,0.0,3.0,full-cohort
pxahc8,"During the past 12 months, have you been",2059,90.3,0.0,1.0,full-cohort
pxahc9,"During the past 12 months, have you DELAY",2051,90.0,0.0,1.0,full-cohort
pxdhc1,You are treated with less courtesy than o,2050,89.9,1.0,5.0,full-cohort
pxdhc2,You are treated with less respect than ot,2049,89.9,1.0,5.0,full-cohort
pxdhc3,You receive poorer service than others.,2045,89.7,1.0,5.0,full-cohort
pxdhc4,A doctor or nurse acts as if he or she th,2047,89.8,1.0,5.0,full-cohort
pxdhc5,A doctor or nurse acts as if he or she is,2056,90.2,1.0,5.0,full-cohort
pxdhc6,A doctor or nurse acts as if he or she is,2050,89.9,1.0,5.0,full-cohort
